"id","district_id","name_uz","name_oz","name_ru"
"47","33","Oxunboboyev nomli","Охунбобоев номли","Охунбобоев номли"
"48","33","Siza","Сиза","Сиза"
"49","33","O‘rmonbek","Ўрмонбек","Ўрмонбек"
"50","33","Xo‘jaobod","Хўжаобод","Хўжаобод"
"51","33","Xo‘jaobod","Хўжаобод","Хўжаобод"
"52","33","Chinobod markaz","Чинобод марказ","Чинобод марказ"
"53","33","Eskixaqqulobod","Эскихаққулобод","Эскихаққулобод"
"54","35","Bo‘z","Бўз","Бўз"
"55","35","M.Jalolov nomli","М.Жалолов номли","М.Жалолов номли"
"56","35","M.Jalolov nomli","М.Жалолов номли","М.Жалолов номли"
"57","35","Xovos","Ховос","Ховос"
"58","35","Xoldevonbek","Холдевонбек","Холдевонбек"
"59","35","Xoldevonbek","Холдевонбек","Холдевонбек"
"60","34","Andijon","Андижон","Андижон"
"61","34","Buloqboshi","Булоқбоши","Булоқбоши"
"62","34","Buloqboshi","Булоқбоши","Булоқбоши"
"63","34","Kulla","Кулла","Кулла"
"64","34","Mayariq","Маяриқ","Маяриқ"
"65","34","Nayman","Найман","Найман"
"66","34","Uchtepa","Учтепа","Учтепа"
"67","34","Shirmonbuloq","Ширмонбулоқ","Ширмонбулоқ"
"68","34","Shirmonbuloq","Ширмонбулоқ","Ширмонбулоқ"
"69","36","Abdullabiy","Абдуллабий","Абдуллабий"
"70","36","Beshtal","Бештал","Бештал"
"71","36","Beshtol","Бештол","Бештол"
"72","36","Guliston","Гулистон","Гулистон"
"73","36","Yorqishloq","Ёрқишлоқ","Ёрқишлоқ"
"74","36","Yorqishloq","Ёрқишлоқ","Ёрқишлоқ"
"75","36","Jalaquduq","Жалақудуқ","Жалақудуқ"
"76","36","Jalaquduq","Жалақудуқ","Жалақудуқ"
"77","36","Jalolquduq","Жалолқудуқ","Жалолқудуқ"
"78","36","Janubiy olamushuk","Жанубий оламушук","Жанубий оламушук"
"79","36","Ko‘kalam","Кўкалам","Кўкалам"
"80","36","Qatortol","Қатортол","Қатортол"
"81","36","Qo‘shtepa","қўштепа","қўштепа"
"82","36","Oyim","Ойим","Ойим"
"83","36","Teshiktosh","Тешиктош","Тешиктош"
"84","37","Gurkirov","Гуркиров","Гуркиров"
"85","37","Izboskan","Избоскан","Избоскан"
"86","37","Maygir","Майгир","Майгир"
"87","37","Maygir","Майгир","Майгир"
"88","37","Namuna","Намуна","Намуна"
"89","37","Paytug","Пайтуг","Пайтуг"
"90","37","To‘rtko‘l","Тўрткўл","Тўрткўл"
"91","37","Uzun ko‘cha","Узун кўча","Узун кўча"
"92","37","O‘rtoqlar","Ўртоқлар","Ўртоқлар"
"93","37","Shermatobod","Шерматобод","Шерматобод"
"94","37","Erkin","Эркин","Эркин"
"95","37","Yakkatut","Яккатут","Яккатут"
"96","37","Yangi qishloq","Янги қишлоқ","Янги қишлоқ"
"97","37","Yangizamon","Янгизамон","Янгизамон"
"98","39","Dardok","Дардок","Дардок"
"99","39","Qorasuv","Қорасув","Қорасув"
"100","39","Qo‘rg‘ontepa","Қўрғонтепа","Қўрғонтепа"
"101","39","Qo‘rg‘ontepa","Қўрғонтепа","Қўрғонтепа"
"102","39","Savay","Савай","Савай"
"103","39","Sultonobod","Султонобод","Султонобод"
"104","39","Sultonobod","Султонобод","Султонобод"
"105","39","Chimyon","Чимён","Чимён"
"106","40","Boboxuroson","Бобохуросон","Бобохуросон"
"107","40","Ko‘tarma","Кўтарма","Кўтарма"
"108","40","Ko‘tarma","Кўтарма","Кўтарма"
"109","40","Qorabog‘ish","Қорабоғиш","Қорабоғиш"
"110","40","Qorabog‘ish","Қорабоғиш","Қорабоғиш"
"111","40","Qoraqo‘rg‘on","Қорақўрғон","Қорақўрғон"
"112","40","Qoraqo‘rg‘on","Қорақўрғон","Қорақўрғон"
"113","40","Marxamat","Мархамат","Мархамат"
"114","40","Marxamat","Мархамат","Мархамат"
"115","40","Marxamat","Мархамат","Мархамат"
"116","40","Polvontosh","Полвонтош","Полвонтош"
"117","40","Rovot","Ровот","Ровот"
"118","40","O‘qchi","Ўқчи","Ўқчи"
"119","40","Xakka","Хакка","Хакка"
"120","40","Xo‘jaariq","Хўжаариқ","Хўжаариқ"
"121","40","Shukurmergan","Шукурмерган","Шукурмерган"
"122","41","Bo‘ston","Бўстон","Бўстон"
"123","41","Dalvarzin","Далварзин","Далварзин"
"124","41","Jalabek","Жалабек","Жалабек"
"125","41","Jalabek","Жалабек","Жалабек"
"126","41","Ijtimoiyat","Ижтимоият","Ижтимоият"
"127","41","Kumakay","Кумакай","Кумакай"
"128","41","Kumakay","Кумакай","Кумакай"
"129","41","Qo‘shtepa","Қўштепа","Қўштепа"
"130","41","Qo‘shtepasaroy","Қўштепасарой","Қўштепасарой"
"131","41","Madaniy mehnat","Маданий меҳнат","Маданий меҳнат"
"132","41","Markaz","Марказ","Марказ"
"133","41","Maslahat","Маслаҳат","Маслаҳат"
"134","41","Maslahat","Маслаҳат","Маслаҳат"
"135","41","Namuna","Намуна","Намуна"
"136","41","Oltinko‘l","Олтинкўл","Олтинкўл"
"137","41","Oraziy","Оразий","Оразий"
"138","41","Oxunboboyev nomli","Охунбобоев номли","Охунбобоев номли"
"139","41","Suvyulduz","Сувюлдуз","Сувюлдуз"
"140","41","Xondibog‘i","Хондибоғи","Хондибоғи"
"141","42","Bo‘ston","Бўстон","Бўстон"
"142","42","Do‘stlik","Дўстлик","Дўстлик"
"143","42","Izboskan","Избоскан","Избоскан"
"144","42","Ittifoq","Иттифоқ","Иттифоқ"
"145","42","Madaniyat","Маданият","Маданият"
"146","42","Paxtakor","Пахтакор","Пахтакор"
"147","42","Paxtaobod","Пахтаобод","Пахтаобод"
"148","42","Pushmon","Пушмон","Пушмон"
"149","42","Uyg‘ur","Уйғур","Уйғур"
"150","43","Mingbuloq","Мингбулоқ","Мингбулоқ"
"151","43","Mingchinor","Мингчинор","Мингчинор"
"152","43","Navoiy nomli","Навоий номли","Навоий номли"
"153","43","Oq oltin","Оқ олтин","Оқ олтин"
"154","43","Oq oltin","Оқ олтин","Оқ олтин"
"155","44","Xonobod","Хонобод","Хонобод"
"156","44","Xonobod","Хонобод","Хонобод"
"157","45","Birlashgan","Бирлашган","Бирлашган"
"158","45","Guliston","Гулистон","Гулистон"
"159","45","Dilkushod","Дилкушод","Дилкушод"
"160","45","Ko‘tarma","Кўтарма","Кўтарма"
"161","45","Manak","Манак","Манак"
"162","45","Manak","Манак","Манак"
"163","45","Oltin vodiy","Олтин водий","Олтин водий"
"164","45","Xidirsha","Хидирша","Хидирша"
"165","45","Xo‘jaobod","Хўжаобод","Хўжаобод"
"166","45","Xo‘jaobod","Хўжаобод","Хўжаобод"
"167","46","Abdubiy","Абдубий","Абдубий"
"168","46","Vaxim","Вахим","Вахим"
"169","46","Guliston","Гулистон","Гулистон"
"170","46","Nazarmaxram","Назармахрам","Назармахрам"
"171","46","Naynavo","Найнаво","Найнаво"
"172","46","Paxtaobod","Пахтаобод","Пахтаобод"
"173","46","Segaza kum","Сегаза кум","Сегаза кум"
"174","46","Toshtepa","Тоштепа","Тоштепа"
"175","46","O‘zbekiston","Ўзбекистон","Ўзбекистон"
"176","46","O‘rta Shaxrixon","Ўрта Шахрихон","Ўрта Шахрихон"
"177","46","Xaqiqat","Хақиқат","Хақиқат"
"178","46","Cho‘ja","Чўжа","Чўжа"
"179","46","Cho‘ja","Чўжа","Чўжа"
"180","46","Shaxrixon","Шахрихон","Шахрихон"
"181","46","Yuqori Shaxrixon","Юқори Шахрихон","Юқори Шахрихон"
"182","46","Yangi yo‘l","Янги йўл","Янги йўл"
"183","48","Arabxona","Арабхона","Арабхона"
"184","48","Bog‘ikalon","Боғикалон","Боғикалон"
"185","48","Gala Osiyo","Гала Осиё","Гала Осиё"
"186","48","Gulshanobod","Гулшанобод","Гулшанобод"
"187","48","Dexcha","Дехча","Дехча"
"188","48","Istiqbol","Истиқбол","Истиқбол"
"189","48","Kunjiqalʼa","Кунжиқалъа","Кунжиқалъа"
"190","48","Ko‘chko‘mar","Кўчкўмар","Кўчкўмар"
"191","48","Qavola Maxmud","Қавола Махмуд","Қавола Махмуд"
"192","48","Podshoyi","Подшойи","Подшойи"
"193","48","Rabotak","Работак","Работак"
"194","48","Rabotiqalmoq","Работиқалмоқ","Работиқалмоқ"
"195","48","Saxovat","Саховат","Саховат"
"196","48","Sohibkor","Соҳибкор","Соҳибкор"
"197","48","So‘fikorgar","Сўфикоргар","Сўфикоргар"
"198","48","O‘rta Novmetan","Ўрта Новметан","Ўрта Новметан"
"199","48","Xumini bolo","Хумини боло","Хумини боло"
"200","48","Shergiron","Шергирон","Шергирон"
"201","48","Shexoncha","Шехонча","Шехонча"
"202","48","Yangi Turmush","Янги Турмуш","Янги Турмуш"
"203","48","Yangiobod","Янгиобод","Янгиобод"
"204","49","Vobkent","Вобкент","Вобкент"
"205","49","Imomqazixon","Имомқазихон","Имомқазихон"
"206","49","Kosari","Косари","Косари"
"207","49","Kumushkent","Кумушкент","Кумушкент"
"208","49","Qipchoq","Қипчоқ","Қипчоқ"
"209","49","Qo‘ng‘irot","Қўнғирот","Қўнғирот"
"210","49","Navbahor","Навбаҳор","Навбаҳор"
"211","49","Pirmast","Пирмаст","Пирмаст"
"212","49","Roxkent","Рохкент","Рохкент"
"213","49","Xayrobotcha","Хайроботча","Хайроботча"
"214","49","Xayrxush","Хайрхуш","Хайрхуш"
"215","49","Xalach","Халач","Халач"
"216","49","Shirin","Ширин","Ширин"
"217","49","Exson","Эхсон","Эхсон"
"218","49","Yangikent","Янгикент","Янгикент"
"219","50","Abadi","Абади","Абади"
"220","50","Armechan","Армечан","Армечан"
"221","50","Beshtuvo","Бештуво","Бештуво"
"222","50","Buktaroy","Буктарой","Буктарой"
"223","50","G.Yunusov nomli","Г.Юнусов номли","Г.Юнусов номли"
"224","50","Gajdumak","Гаждумак","Гаждумак"
"225","50","G‘ijduvon","Ғиждувон","Ғиждувон"
"226","50","G‘ovshun","Ғовшун","Ғовшун"
"227","50","Dodarak","Додарак","Додарак"
"228","50","Jovgari","Жовгари","Жовгари"
"229","50","Zarangari","Зарангари","Зарангари"
"230","50","Ko‘kcha","Кўкча","Кўкча"
"231","50","Ko‘lijabbor","Кўлижаббор","Кўлижаббор"
"232","50","Qaraxoni","Қарахони","Қарахони"
"233","50","Mazragan","Мазраган","Мазраган"
"234","50","Namatgaron","Наматгарон","Наматгарон"
"235","50","Paxtaobod","Пахтаобод","Пахтаобод"
"236","50","Pozagari","Позагари","Позагари"
"237","50","Sarvari","Сарвари","Сарвари"
"238","50","Sarmijon","Сармижон","Сармижон"
"239","50","Soktari","Соктари","Соктари"
"240","50","O‘zanon","Ўзанон","Ўзанон"
"241","50","Ulfatbibi","Улфатбиби","Улфатбиби"
"242","50","Firishkent","Фиришкент","Фиришкент"
"243","50","Xatcha","Хатча","Хатча"
"244","50","Chag‘dari","Чағдари","Чағдари"
"245","50","Yuqori Qumoq","Юқори Қумоқ","Юқори Қумоқ"
"246","50","Yuqori Rostgo‘y","Юқори Ростгўй","Юқори Ростгўй"
"247","51","Aleli","Алели","Алели"
"248","51","Dalmun","Далмун","Далмун"
"249","51","Dalmun","Далмун","Далмун"
"250","51","Jondor","Жондор","Жондор"
"251","51","Zarafshon","Зарафшон","Зарафшон"
"252","51","Ko‘liyon","Кўлиён","Кўлиён"
"253","51","Qaroli","Қароли","Қароли"
"254","51","Lolo","Лоло","Лоло"
"255","51","Mirzayon","Мирзаён","Мирзаён"
"256","51","Mustaqillik","Мустақиллик","Мустақиллик"
"257","51","Oxshix","Охших","Охших"
"258","51","Paxlavon","Пахлавон","Пахлавон"
"259","51","Po‘loti","Пўлоти","Пўлоти"
"260","51","Romish","Ромиш","Ромиш"
"261","51","Samonchuq","Самончуқ","Самончуқ"
"262","51","Samonchuq","Самончуқ","Самончуқ"
"263","51","Tobagar","Тобагар","Тобагар"
"264","51","Ushot","Ушот","Ушот"
"265","51","Xazorman","Хазорман","Хазорман"
"266","51","Xumdonak","Хумдонак","Хумдонак"
"267","51","Xumini bolo","Хумини боло","Хумини боло"
"268","52","Chorzona","Чорзона","Чорзона"
"269","52","B.Naqshband","Б.Нақшбанд","Б.Нақшбанд"
"270","52","Beklar","Беклар","Беклар"
"271","52","Guliston","Гулистон","Гулистон"
"272","52","Kogon","Когон","Когон"
"273","52","Niyozhoji","Ниёзҳожи","Ниёзҳожи"
"274","52","Nurafshon","Нурафшон","Нурафшон"
"275","52","Sarayon","Сараён","Сараён"
"276","52","Sarayonobod","Сараёнобод","Сараёнобод"
"277","52","Tutikunda","Тутикунда","Тутикунда"
"278","52","Xo‘ja Yakshaba","Хўжа Якшаба","Хўжа Якшаба"
"279","52","Yangi xayot","Янги хаёт","Янги хаёт"
"280","54","Bandboshi","Бандбоши","Бандбоши"
"281","54","Bandboshi","Бандбоши","Бандбоши"
"282","54","Darg‘abog‘i","Дарғабоғи","Дарғабоғи"
"283","54","Darg‘ali","Дарғали","Дарғали"
"284","54","Jig‘achi","Жиғачи","Жиғачи"
"285","54","Jig‘achi","Жиғачи","Жиғачи"
"286","54","Ziyorat","Зиёрат","Зиёрат"
"287","54","Kulonchi","Кулончи","Кулончи"
"288","54","Qozon","Қозон","Қозон"
"289","54","Qorako‘l","Қоракўл","Қоракўл"
"290","54","Qorako‘l","Қоракўл","Қоракўл"
"291","54","Qoraun","Қораун","Қораун"
"292","54","Qorahoji","Қораҳожи","Қораҳожи"
"293","54","Qorahoji","Қораҳожи","Қораҳожи"
"294","54","Quvvacha","Қуввача","Қуввача"
"295","54","Quvvacha","Қуввача","Қуввача"
"296","54","Quyi Yangibozor","Қуйи Янгибозор","Қуйи Янгибозор"
"297","54","Mallaishayx","Маллаишайх","Маллаишайх"
"298","54","Mirzaqalʼa","Мирзақалъа","Мирзақалъа"
"299","54","Sayyod","Сайёд","Сайёд"
"300","54","Sayyot","Сайёт","Сайёт"
"301","54","Solur","Солур","Солур"
"302","54","Chandir","Чандир","Чандир"
"303","54","Chandirobod","Чандиробод","Чандиробод"
"304","54","Chovli","Човли","Човли"
"305","54","Sho‘rabot","Шўработ","Шўработ"
"306","54","Sho‘rrabot","Шўрработ","Шўрработ"
"307","54","Yakka Aʼlam","Якка Аълам","Якка Аълам"
"308","54","Yangiqalʼa","Янгиқалъа","Янгиқалъа"
"309","55","Buzachi","Бузачи","Бузачи"
"310","55","Bo‘ston","Бўстон","Бўстон"
"311","55","Jarqoq","Жарқоқ","Жарқоқ"
"312","55","Qorovulbozor","Қоровулбозор","Қоровулбозор"
"313","55","Navbahor","Навбаҳор","Навбаҳор"
"314","56","Bahoriston","Баҳористон","Баҳористон"
"315","56","Bo‘ribek Chandir","Бўрибек Чандир","Бўрибек Чандир"
"316","56","Ganchi Chandir","Ганчи Чандир","Ганчи Чандир"
"317","56","Guliston","Гулистон","Гулистон"
"318","56","Denov","Денов","Денов"
"319","56","Jayxunobod","Жайхунобод","Жайхунобод"
"320","56","Jumabozor","Жумабозор","Жумабозор"
"321","56","Kesakli","Кесакли","Кесакли"
"322","56","Qirlishon","Қирлишон","Қирлишон"
"323","56","Qirtay","Қиртай","Қиртай"
"324","56","Olot","Олот","Олот"
"325","56","Paxtakor","Пахтакор","Пахтакор"
"326","56","Soyin-qorovul","Сойин-қоровул","Сойин-қоровул"
"327","56","Sola qorovul","Сола қоровул","Сола қоровул"
"328","56","Talqon-sayyot","Талқон-сайёт","Талқон-сайёт"
"329","56","O‘zbekiston","Ўзбекистон","Ўзбекистон"
"330","56","Chandir","Чандир","Чандир"
"331","56","Chovdur","Човдур","Човдур"
"332","56","Chorbog‘","Чорбоғ","Чорбоғ"
"333","57","Bog‘imuso","Боғимусо","Боғимусо"
"334","57","Varaxsho","Варахшо","Варахшо"
"335","57","Jonkeldi","Жонкелди","Жонкелди"
"336","57","Zandani","Зандани","Зандани"
"337","57","Ibn Sino nomli","Ибн Сино номли","Ибн Сино номли"
"338","57","Qalʼai Mirishkor","Қалъаи Миришкор","Қалъаи Миришкор"
"339","57","Qoraqalpoq","Қорақалпоқ","Қорақалпоқ"
"340","57","Mahallai-Mirishkor","Маҳаллаи-Миришкор","Маҳаллаи-Миришкор"
"341","57","Peshku","Пешку","Пешку"
"342","57","Peshku","Пешку","Пешку"
"343","57","Chibog‘oni","Чибоғони","Чибоғони"
"344","57","Shavgon","Шавгон","Шавгон"
"345","57","Yangibozor","Янгибозор","Янгибозор"
"346","57","Yangibozor","Янгибозор","Янгибозор"
"347","58","Bog‘iturkon","Боғитуркон","Боғитуркон"
"348","58","Gazli","Газли","Газли"
"349","58","Qizil Ravot","Қизил Равот","Қизил Равот"
"350","58","Qoqishtuvon","Қоқиштувон","Қоқиштувон"
"351","58","Qo‘rg‘on","Қўрғон","Қўрғон"
"352","58","Romitan","Ромитан","Ромитан"
"353","58","Romitan","Ромитан","Ромитан"
"354","58","Xosa","Хоса","Хоса"
"355","58","Chelong‘u","Челонғу","Челонғу"
"356","58","Sho‘rcha","Шўрча","Шўрча"
"357","58","Yuqori G‘azberon","Юқори Ғазберон","Юқори Ғазберон"
"358","59","Bog‘iafzal","Боғиафзал","Боғиафзал"
"359","59","Vargonze","Варгонзе","Варгонзе"
"360","59","G‘ulomte","Ғуломте","Ғуломте"
"361","59","Denov","Денов","Денов"
"362","59","Do‘rmon","Дўрмон","Дўрмон"
"363","59","Jo‘ynav","Жўйнав","Жўйнав"
"364","59","Jo‘yrabot","Жўйработ","Жўйработ"
"365","59","Jo‘yrabot","Жўйработ","Жўйработ"
"366","59","Iskogare","Искогаре","Искогаре"
"367","59","Iskogare","Искогаре","Искогаре"
"368","59","Quyi Chuqurak","Қуйи Чуқурак","Қуйи Чуқурак"
"369","59","Mazlaxon chandir","Мазлахон чандир","Мазлахон чандир"
"370","59","Mirzoqul","Мирзоқул","Мирзоқул"
"371","59","Savrak","Саврак","Саврак"
"372","59","Sulton Jo‘ra","Султон Жўра","Султон Жўра"
"373","59","Talisafed","Талисафед","Талисафед"
"374","59","Tezguzar","Тезгузар","Тезгузар"
"375","59","Undare","Ундаре","Ундаре"
"376","59","Chandir","Чандир","Чандир"
"377","59","Sh.Hamroyev nomli","Ш.Ҳамроев номли","Ш.Ҳамроев номли"
"378","59","Shofirkon","Шофиркон","Шофиркон"
"379","60","Bo‘ston","Бўстон","Бўстон"
"380","60","Gulbahor","Гулбаҳор","Гулбаҳор"
"381","60","G‘oliblar","Ғолиблар","Ғолиблар"
"382","60","Do‘stlik","Дўстлик","Дўстлик"
"383","60","Zarafshon","Зарафшон","Зарафшон"
"384","60","Oltin vodiy","Олтин водий","Олтин водий"
"385","60","Cho‘lquvar","Чўлқувар","Чўлқувар"
"386","60","Yangibo‘ston","Янгибўстон","Янгибўстон"
"387","61","Alamli","Аламли","Аламли"
"388","61","Barlos","Барлос","Барлос"
"389","61","Baxmal","Бахмал","Бахмал"
"390","61","Baxmal","Бахмал","Бахмал"
"391","61","Bog‘ishamol","Боғишамол","Боғишамол"
"392","61","Gulbuloq","Гулбулоқ","Гулбулоқ"
"393","61","Mo‘g‘ol","Мўғол","Мўғол"
"394","61","Mo‘g‘ol","Мўғол","Мўғол"
"395","61","Novqa","Новқа","Новқа"
"396","61","Oyqor","Ойқор","Ойқор"
"397","61","Oqtosh","Оқтош","Оқтош"
"398","61","Oqtosh","Оқтош","Оқтош"
"399","61","Sangzor","Сангзор","Сангзор"
"400","61","Tongotar","Тонготар","Тонготар"
"401","61","Tongotar","Тонготар","Тонготар"
"402","61","Uzunbuloq","Узунбулоқ","Узунбулоқ"
"403","61","O‘smat","Ўсмат","Ўсмат"
"404","62","Abdukarim","Абдукарим","Абдукарим"
"405","62","Buloqboshi","Булоқбоши","Булоқбоши"
"406","62","Guliston","Гулистон","Гулистон"
"407","62","Gulchambar","Гулчамбар","Гулчамбар"
"408","62","G‘allaorol","Ғаллаорол","Ғаллаорол"
"409","62","G‘ubdin","Ғубдин","Ғубдин"
"410","62","Ittifoq","Иттифоқ","Иттифоқ"
"411","62","Korizquduq","Коризқудуқ","Коризқудуқ"
"412","62","Ko‘kbuloq","Кўкбулоқ","Кўкбулоқ"
"413","62","Qangliobod","Қанглиобод","Қанглиобод"
"414","62","Qipchoqsuv","Қипчоқсув","Қипчоқсув"
"415","62","Qo‘ytosh","Қўйтош","Қўйтош"
"416","62","Lalmikor","Лалмикор","Лалмикор"
"417","62","Madaniyat","Маданият","Маданият"
"418","62","Marjonbuloq","Маржонбулоқ","Маржонбулоқ"
"419","62","Mirzabuloq","Мирзабулоқ","Мирзабулоқ"
"420","62","Moltob","Молтоб","Молтоб"
"421","62","Mulkush","Мулкуш","Мулкуш"
"422","62","Tozaurug‘","Тозауруғ","Тозауруғ"
"423","62","Xonimqo‘rg‘on","Хонимқўрғон","Хонимқўрғон"
"424","62","Chuvilloq","Чувиллоқ","Чувиллоқ"
"425","63","Bog‘zor","Боғзор","Боғзор"
"426","63","Bunyodkor","Бунёдкор","Бунёдкор"
"427","63","Do‘stlik","Дўстлик","Дўстлик"
"428","63","Qahramon","Қаҳрамон","Қаҳрамон"
"429","63","Manas","Манас","Манас"
"430","63","Mevazor","Мевазор","Мевазор"
"431","63","Navro‘z","Наврўз","Наврўз"
"432","63","Oltin vodiy","Олтин водий","Олтин водий"
"433","63","Saritepa","Саритепа","Саритепа"
"434","66","Adirobod","Адиробод","Адиробод"
"435","66","Andijon","Андижон","Андижон"
"436","66","Bo‘ston","Бўстон","Бўстон"
"437","66","Zarbdor","Зарбдор","Зарбдор"
"438","66","Lalmikor","Лалмикор","Лалмикор"
"439","66","Oqar","Оқар","Оқар"
"440","66","Tinchlik","Тинчлик","Тинчлик"
"441","66","Toshkesgan","Тошкесган","Тошкесган"
"442","66","Fayzobod","Файзобод","Файзобод"
"443","66","Sharq yulduzi","Шарқ юлдузи","Шарқ юлдузи"
"444","66","Sharq yulduzi","Шарқ юлдузи","Шарқ юлдузи"
"445","66","Yangikent","Янгикент","Янгикент"
"446","67","Birlik","Бирлик","Бирлик"
"447","67","Yorqin","Ёрқин","Ёрқин"
"448","67","Yorqin","Ёрқин","Ёрқин"
"449","67","Zafarobod","Зафаробод","Зафаробод"
"450","67","Lolazor","Лолазор","Лолазор"
"451","67","Nurafshon","Нурафшон","Нурафшон"
"452","67","Pistalikent","Писталикент","Писталикент"
"453","67","Uzun","Узун","Узун"
"454","67","Xulkar","Хулкар","Хулкар"
"455","67","Chimqo‘rg‘on","Чимқўрғон","Чимқўрғон"
"456","68","A.Navoiy","А.Навоий","А.Навоий"
"457","68","Beshkubi","Бешкуби","Бешкуби"
"458","68","Gulshan","Гулшан","Гулшан"
"459","68","G‘allakor","Ғаллакор","Ғаллакор"
"460","68","Dashtobod","Даштобод","Даштобод"
"461","68","Duoba","Дуоба","Дуоба"
"462","68","Yom","Ём","Ём"
"463","68","Zomin","Зомин","Зомин"
"464","68","Istiqlol","Истиқлол","Истиқлол"
"465","68","Obi hayot","Оби ҳаёт","Оби ҳаёт"
"466","68","Pshag‘or","Пшағор","Пшағор"
"467","68","Sirg‘ali","Сирғали","Сирғали"
"468","68","Chorvador","Чорвадор","Чорвадор"
"469","68","Shirin","Ширин","Ширин"
"470","69","Bog‘bon","Боғбон","Боғбон"
"471","69","Gagarin","Гагарин","Гагарин"
"472","69","Gulzor","Гулзор","Гулзор"
"473","69","Jibek-jo‘li","Жибек-жўли","Жибек-жўли"
"474","69","Mirzadala","Мирзадала","Мирзадала"
"475","69","Paxtazor","Пахтазор","Пахтазор"
"476","69","Toshkent","Тошкент","Тошкент"
"477","69","O‘zbekiston","Ўзбекистон","Ўзбекистон"
"478","69","Yangidala","Янгидала","Янгидала"
"479","70","Bog‘ishamol","Боғишамол","Боғишамол"
"480","70","Buyuk Ipak yo‘li","Буюк Ипак йўли","Буюк Ипак йўли"
"481","70","Gulzor","Гулзор","Гулзор"
"482","70","Mingchinor","Мингчинор","Мингчинор"
"483","70","Oq buloq","Оқ булоқ","Оқ булоқ"
"484","70","Olmazor","Олмазор","Олмазор"
"485","70","Paxtakor","Пахтакор","Пахтакор"
"486","70","Paxtakor","Пахтакор","Пахтакор"
"487","70","Chamanzor","Чаманзор","Чаманзор"
"488","71","Arnasoy","Арнасой","Арнасой"
"489","71","Bog‘don","Боғдон","Боғдон"
"490","71","Garasha","Гараша","Гараша"
"491","71","Darvoza","Дарвоза","Дарвоза"
"492","71","Qizilqum","Қизилқум","Қизилқум"
"493","71","Qoraabdol","Қораабдол","Қораабдол"
"494","71","Omonkeldi","Омонкелди","Омонкелди"
"495","71","Osmonsoy","Осмонсой","Осмонсой"
"496","71","Uxum","Ухум","Ухум"
"497","71","Uchquloch","Учқулоч","Учқулоч"
"498","71","Forish","Фориш","Фориш"
"499","71","Egizbuloq","Эгизбулоқ","Эгизбулоқ"
"500","64","Gandumtosh","Гандумтош","Гандумтош"
"501","64","Jizzaxlik","Жиззахлик","Жиззахлик"
"502","64","Ziyokor","Зиёкор","Зиёкор"
"503","64","Kuyovboshi","Куёвбоши","Куёвбоши"
"504","64","Qang‘li","Қанғли","Қанғли"
"505","64","Qang‘li","Қанғли","Қанғли"
"506","64","Qorayantoq","Қораянтоқ","Қораянтоқ"
"507","64","Qulama","Қулама","Қулама"
